province,date,cumulative_cases,cumulative_recovered,cumulative_deaths,active_cases,active_cases_change,testing,cumulative_testing,date_formatted,total_n,rate_per_1M_cumulative_test_done,rate_per_1M_cumulative_test-confirmed_infectious,rate_per_1M_cumulative_test-confirmed_dead,Time,Total N,Test done,Susceptible,Recovered,Infectious,Dead,Test-confirmed infectious,Test-confirmed dead,Cumulative test done,Cumulative infectious,Cumulative dead,Cumulative test-confirmed infectious,Cumulative test-confirmed dead,Rate per 1M cumulative test done,Rate per 1M cumulative infectious,Rate per 1M cumulative dead,Rate per 1M cumulative test-confirmed infectious,Rate per 1M cumulative test-confirmed dead,Infectious-no symptom,Infectious-mild symptom,Infectious-severe symptom,Infectious-critical symptom,Infectious using non-ICU hospital bed,Infectious using ICU hospital bed,Infectious using ventilator,Recovered-no complication,Recovered-mild complication,Recovered-severe complication,Recovered using DrugX,Mean R0,Model params,Run,Date,Cumulative test-confirmed infectious percent change,Cumulative test-confirmed dead percent change,Test-confirmed infectious percent change
Alberta,20-02-2020,0,0,0,0,0,0,0,2020-02-20,4410000,0,0,0,1,10000,41,9998,0,2,0,0,0,41,2,0,0,0,4100,200,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-20,,,
Alberta,21-02-2020,0,0,0,0,0,0,0,2020-02-21,4410000,0,0,0,2,10000,40,9998,0,2,0,0,0,81,2,0,0,0,8100,200,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-21,,,
Alberta,22-02-2020,0,0,0,0,0,0,0,2020-02-22,4410000,0,0,0,3,10000,52,9998,0,2,0,0,0,133,2,0,0,0,13300,200,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-22,,,
Alberta,23-02-2020,0,0,0,0,0,0,0,2020-02-23,4410000,0,0,0,4,10000,52,9997,0,3,0,0,0,185,3,0,0,0,18500,300,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-23,,,
Alberta,24-02-2020,0,0,0,0,0,0,0,2020-02-24,4410000,0,0,0,5,10000,41,9996,0,4,0,0,0,226,4,0,0,0,22600,400,0,0,0,3,0,0,1,0,1,1,0,0,0,0,1,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-24,,,
Alberta,25-02-2020,0,0,0,0,0,0,0,2020-02-25,4410000,0,0,0,6,10000,55,9995,0,5,0,0,0,281,5,0,0,0,28100,500,0,0,0,1,1,1,2,1,1,3,0,0,0,0,1,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-25,,,
Alberta,26-02-2020,0,0,0,0,0,0,0,2020-02-26,4410000,0,0,0,7,10000,42,9994,0,6,0,0,0,323,6,0,0,0,32300,600,0,0,0,2,1,1,2,1,2,3,0,0,0,0,1,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-26,,,
Alberta,27-02-2020,0,0,0,0,0,0,0,2020-02-27,4410000,0,0,0,8,10000,30,9994,0,6,0,0,0,353,6,0,0,0,35300,600,0,0,0,1,1,2,2,1,3,4,0,0,0,0,1,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-27,,,
Alberta,28-02-2020,0,0,0,0,0,0,0,2020-02-28,4410000,0,0,0,9,10000,49,9993,0,7,0,0,0,402,7,0,0,0,40200,700,0,0,0,2,1,2,2,2,2,4,0,0,0,0,1,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-28,,,
Alberta,29-02-2020,0,0,0,0,0,0,0,2020-02-29,4410000,0,0,0,10,10000,53,9992,0,8,0,0,0,455,8,0,0,0,45500,800,0,0,0,3,1,3,1,2,2,4,0,0,0,0,1,"(10000, 10, 2, 1, 3, 0, 0.15, 7, 3, 0, 0.5, 4, 3, 0, 0.04, 4.1, 1, 0, 0.75, 1, 2, 0, 0.1, 1, 2.8, 0, 0.15, 3, 3, 0, 0.25, 4.9, 2.2, 0, 0.11, 3.3, 3.1, 0, 0.11, 3, 2, 0, 0.001, 5, 3, 0, 0.001, 7, 3, 0, 0.01, 7, 1, 0, 0.001, 4, 2, 0, 0.001, 5, 2, 0, 0.25, 0.016, 0, 0.02, 0.02, 0.001, 0.001, 0.005, 0.1, 2000, 0.1, 3000, 0.1, 100, 0.1, 20)",1,2020-02-29,,,
